pres,prop,T_ref,T_comp,truth,higher
1.0,0.75,28.810565948486328,21.60792350769043,1.0,0.0
2.0,0.949999988079071,28.13444709777832,26.727725982666016,1.0,1.0
3.0,1.0,33.01273727416992,33.01273727416992,1.0,0.0
4.0,0.8500000238418579,27.078638076782227,23.016841888427734,1.0,1.0
5.0,0.699999988079071,16.95053482055664,11.865374565124512,0.0,0.0
6.0,1.399999976158142,23.567718505859375,32.99480438232422,1.0,1.0
7.0,0.949999988079071,25.462400436401367,24.189279556274414,1.0,0.0
8.0,1.2999999523162842,20.489177703857422,26.63593101501465,1.0,1.0
9.0,1.100000023841858,34.16237258911133,37.578609466552734,0.0,0.0
10.0,1.0499999523162842,22.532869338989258,23.659513473510742,1.0,1.0
