pres,prop,T_ref,T_comp,truth,higher
1.0,0.8999999761581421,18.47789192199707,16.630104064941406,0.0,1.0
2.0,1.2999999523162842,23.557647705078125,30.624942779541016,0.0,0.0
3.0,1.25,26.786304473876953,33.482879638671875,0.0,0.0
4.0,1.5,21.30051612854004,31.950775146484375,0.0,0.0
5.0,0.5,17.944520950317383,8.972260475158691,0.0,0.0
6.0,0.5,32.87650680541992,16.43825340270996,0.0,0.0
7.0,0.6000000238418579,21.422277450561523,12.853365898132324,1.0,0.0
8.0,1.25,31.349472045898438,39.18684005737305,1.0,0.0
9.0,0.8500000238418579,22.113130569458008,18.796161651611328,0.0,0.0
10.0,0.6499999761581421,34.73087692260742,22.575069427490234,1.0,0.0
11.0,0.949999988079071,22.786907196044922,21.64756202697754,0.0,0.0
